Name,X-Coordinate,Y-Coordinate,Tag,Rain Gage,Outlet,Area (ha),Width (m),Flow Length (m),Slope (%),Imperv. (%),N Imperv,N Perv,Dstore Imperv (mm),Dstore Perv (mm),Zero Imperv (%),Subarea Routing,Percent Routed (%),Curb Length,N-Perv Pattern,Dstore Pattern,Infil. Pattern,Snow Pack,LID Controls,LID Names,Infiltration Method,Max. Infil. Rate (mm/hr),Min. Infil. Rate (mm/hr),Decay Constant (1/hr),Drying Time (days),Max. Volume (mm),Suction Head (mm),Conductivity (mm/hr),Initial Deficit (frac.),Curve Number,Groundwater,Aquifer Name,Receiving Node,Surface Elevation (m),A1 Coefficient,B1 Exponent,A2 Coefficient,B2 Exponent,A3 Coefficient,Surface Water Depth (m),Threshold Water Table Elev. (m),Bottom Elevation (m),Initial Elevation (m),Initial Moisture (fraction),Lateral Flow Equation,Deep Flow Equation,Erosion,K,C,P,LS,CFRG,Precipitation (mm),Runon (mm),Evaporation (mm),Infiltration (mm),Imperv Runoff (mm),Perv Runoff (mm),Runoff Depth (mm),Runoff Volume (ML),Peak Runoff (m³/s),Runoff Coefficient,GW Evaporation (mm),GW Seepage (mm),GW Outflow (mm),GW Max. Outflow (m³/s),GW Avg. Moisture,GW Avg. Table (m),GW Final Moisture,GW Final Table (m),GIS_LENGTH,GIS_AREA,GIS_PARTS
S00137TTTT,178474.063,552296.2,공원,huff_2yr,S00238TTTT,0.006319,7.949,7.949,0.803,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0,,,,,2,GreenRoof_2; pavement_2,GREEN_AMPT,3,0.5,4,7,0,89,12.7,0.25,80,NO,*,*,0,0,0,0,0,0,0,-99,-99,-99,-99,,,NO,0.4,0.1,0.75,1.91,0.1,73.6,0,9.2,45.93,8.37,7.67,16.05,0,0,0.218,0,0,0,0,0,0,0,0,39.332,63.187,1
S00138TTTT,178491.7,552300.6,공원,huff_2yr,S00239TTTT,0.053188,23.063,23.062,3.338,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0,,,,,2,GreenRoof_2; pavement_2,GREEN_AMPT,3,0.5,4,7,0,89,12.7,0.25,80,NO,*,*,0,0,0,0,0,0,0,-99,-99,-99,-99,,,NO,0.4,0.1,0.75,1.91,0.1,73.6,0,9.4,46.43,8.35,7.03,15.38,0.01,0,0.209,0,0,0,0,0,0,0,0,92.941,531.882,1
S00139TTTT,178520.641,552297.563,공원,huff_2yr,S00140TTTT,0.034273,18.513,18.513,3.482,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0,,,,,2,GreenRoof_2; pavement_2,GREEN_AMPT,3,0.5,4,7,0,89,12.7,0.25,80,NO,*,*,0,0,0,0,0,0,0,-99,-99,-99,-99,,,NO,0.4,0.1,0.75,1.91,0.1,73.6,0,9.38,46.12,8.37,7.48,15.85,0.01,0,0.215,0,0,0,0,0,0,0,0,83.654,342.735,1
S00140TTTT,178548.234,552294.4,공원,huff_2yr,S00141TTTT,0.013288,11.527,11.528,3.482,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0,,,,,2,GreenRoof_2; pavement_2,GREEN_AMPT,3,0.5,4,7,0,89,12.7,0.25,80,NO,*,*,0,0,0,0,0,0,0,-99,-99,-99,-99,,,NO,0.4,0.1,0.75,1.91,0.1,73.6,40.73,10.14,49.56,14.49,37.78,52.27,0.01,0,0.457,0,0,0,0,0,0,0,0,69.663,132.87,1
S00141TTTT,178568.516,552292,공원,huff_2yr,S00241TTTT,0.000186,1.364,1.364,3.358,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0,,,,,2,GreenRoof_2; pavement_2,GREEN_AMPT,3,0.5,4,7,0,89,12.7,0.25,80,NO,*,*,0,0,0,0,0,0,0,-99,-99,-99,-99,,,NO,0.4,0.1,0.75,1.91,0.1,73.6,3728.64,15.56,59.3,567.68,3158.09,3725.76,0.01,0,0.98,0,0,0,0,0,0,0,0,9.03,1.86,1
S00237TTTT,178470.328,552276.4,공원,huff_2yr,S00338TTTT,0.040643,20.16,20.16,1.707,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0,,,,,2,GreenRoof_2; pavement_2,GREEN_AMPT,3,0.5,4,7,0,89,12.7,0.25,80,NO,*,*,0,0,0,0,0,0,0,-99,-99,-99,-99,,,NO,0.4,0.1,0.75,1.91,0.1,73.6,0,9.53,46.59,8.33,6.63,14.96,0.01,0,0.203,0,0,0,0,0,0,0,0,83.337,406.425,1
S00238TTTT,178492.172,552276.7,공원,huff_2yr,S00339TTTT,0.09,30,30,3.482,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0,,,,,2,GreenRoof_2; pavement_2,GREEN_AMPT,3,0.5,4,7,0,89,12.7,0.25,80,NO,*,*,0,0,0,0,0,0,0,-99,-99,-99,-99,,,NO,0.4,0.1,0.75,1.91,0.1,73.6,1.12,9.79,46.97,8.5,7.19,15.69,0.01,0,0.21,0,0,0,0,0,0,0,0,120,900,1
S00239TTTT,178522.172,552276.7,공원,huff_2yr,S00240TTTT,0.09,30,30,3.482,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0,,,,,2,GreenRoof_2; pavement_2,GREEN_AMPT,3,0.5,4,7,0,89,12.7,0.25,80,NO,*,*,0,0,0,0,0,0,0,-99,-99,-99,-99,,,NO,0.4,0.1,0.75,1.91,0.1,73.6,9.06,10.15,48.26,9.68,12.08,21.76,0.02,0.01,0.263,0,0,0,0,0,0,0,0,120,900,1
S00240TTTT,178552.172,552276.7,공원,huff_2yr,S00241TTTT,0.09,30,30,2.242,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0,,,,,2,GreenRoof_2; pavement_2,GREEN_AMPT,3,0.5,4,7,0,89,12.7,0.25,80,NO,*,*,0,0,0,0,0,0,0,-99,-99,-99,-99,,,NO,0.4,0.1,0.75,1.91,0.1,73.6,21.71,11.27,50.46,11.56,19.63,31.18,0.03,0.01,0.327,0,0,0,0,0,0,0,0,120,900,1
S00241TTTT,178581.563,552275.438,공원,huff_2yr,S00242TTTT,0.082116,28.656,28.656,2.347,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0,,,,,2,GreenRoof_2; pavement_2,GREEN_AMPT,3,0.5,4,7,0,89,12.7,0.25,80,NO,*,*,0,0,0,0,0,0,0,-99,-99,-99,-99,,,NO,0.4,0.1,0.75,1.91,0.1,73.6,42.55,12.36,52.28,14.68,34.61,49.29,0.04,0.01,0.424,0,0,0,0,0,0,0,0,114.634,821.156,1
